date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours,reroute_severity,origin_country,destination_country,aircraft_type,passengers_affected,reason,cancelled,event_type,severity,disruption_type,severity_level,flights_affected
2026-02-27,Air India,AI7141,Doha,London,,,,,,,,,Qatar,UK,Airbus A350-900,218.0,Fuel supply disruption,1.0,,,,,
2026-02-27,Emirates SkyCargo,EM4408,Frankfurt,Dubai,,,,,,,,,Germany,UAE,Airbus A330-300,359.0,Airport closure — military activity,1.0,,,,,
2026-02-27,Iran Air,IR1886,Tehran,Beijing,,,,,,,,,Iran,China,Airbus A380-800,379.0,Airport closure — military activity,1.0,,,,,
2026-02-27,Thai Airways,TH8170,Kuwait City,Mumbai,,,,,,,,,Kuwait,India,Boeing 787-9 Dreamliner,126.0,Fuel supply disruption,1.0,,,,,
2026-02-28,Air Arabia,AI3705,Kuwait City,London,,,,,,,,,Kuwait,UK,Airbus A320neo,423.0,Security risk — conflict zone,1.0,Military,Critical,,,
2026-02-28,Air India,AI1173,Karachi,Dubai,,,,,,,,,Pakistan,UAE,Boeing 737-800,184.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-02-28,Air India,AI4585,Abu Dhabi,Washington,,,,,,,,,UAE,USA,Airbus A330-300,222.0,Fuel supply disruption,1.0,Military,Critical,,,
2026-02-28,Air India,AI6740,London,Doha,,,,,,,,,UK,Qatar,Boeing 787-9 Dreamliner,221.0,Insurance restriction — war zone,1.0,Military,Critical,,,
2026-02-28,Air India,AI6861,Delhi,Dubai,,,,,,,,,India,UAE,Boeing 787-9 Dreamliner,325.0,Airport closure — military activity,1.0,Military,Critical,,,
2026-02-28,Air India,AI9296,London,Doha,Direct Middle East overfly,Via Central Asian detour,2377.0,4452.0,2075.0,10389.57,3.8,34.93957,,,,,,0.0,Military,Critical,,,
2026-02-28,American Airlines,AM3089,Dubai,London,Via Baghdad FIR,Via Ankara–Baku corridor,3229.0,4077.0,848.0,3998.99,4.9,17.37899,,,,,,0.0,Military,Critical,,,
2026-02-28,American Airlines,AM3218,Moscow,Tehran,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7578.0,9347.0,1769.0,11370.71,2.3,31.36071,,,,,,0.0,Military,Critical,,,
2026-02-28,British Airways,BR9313,Amman,Dubai,,,,,,,,,Jordan,UAE,Boeing 787-9 Dreamliner,309.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
2026-02-28,Cargolux,CA3369,London,Doha,,,,,,,,,UK,Qatar,Airbus A380-800,96.0,Crew safety — company policy,1.0,Military,Critical,,,
2026-02-28,Cargolux,CA8910,Dubai,London,,,,,,,,,UAE,UK,Boeing 777-200LR,160.0,Fuel supply disruption,1.0,Military,Critical,,,
2026-02-28,Cathay Pacific,CA1538,Karachi,Dubai,,,,,,,,,Pakistan,UAE,Boeing 737 MAX 8,340.0,Government travel ban,1.0,Military,Critical,,,
2026-02-28,Cathay Pacific,CA5413,Los Angeles,Doha,,,,,,,,,USA,Qatar,Boeing 737-800,90.0,Security risk — conflict zone,1.0,Military,Critical,,,
2026-02-28,Cathay Pacific,CA8807,Moscow,Tehran,,,,,,,,,Russia,Iran,Airbus A321neo,159.0,Airspace closure — NOTAM,1.0,Military,Critical,,,
