date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-02-27,Iran Air,IR1886,Tehran,Beijing,Iran,China,Airbus A380-800,379,Airport closure — military activity
2026-02-27,Thai Airways,TH8170,Kuwait City,Mumbai,Kuwait,India,Boeing 787-9 Dreamliner,126,Fuel supply disruption
2026-02-27,Emirates SkyCargo,EM4408,Frankfurt,Dubai,Germany,UAE,Airbus A330-300,359,Airport closure — military activity
2026-02-27,Air India,AI7141,Doha,London,Qatar,UK,Airbus A350-900,218,Fuel supply disruption
2026-02-28,Lufthansa,LU9386,New York,Doha,USA,Qatar,Boeing 787-9 Dreamliner,306,Insurance restriction — war zone
2026-02-28,Turkish Airlines,TU3347,Dubai,Frankfurt,UAE,Germany,Airbus A330-300,341,Security risk — conflict zone
2026-02-28,Oman Air,OM3694,London,Abu Dhabi,UK,UAE,Airbus A330-300,185,Insurance restriction — war zone
2026-02-28,Etihad Airways,ET4501,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,89,Crew safety — company policy
2026-02-28,DHL Aviation,DH5634,Doha,Los Angeles,Qatar,USA,Airbus A340-600,234,Government travel ban
2026-02-28,IndiGo,IN6143,Dubai,Amman,UAE,Jordan,Boeing 787-9 Dreamliner,120,Diplomatic advisory — do not fly
2026-02-28,Air India,AI6740,London,Doha,UK,Qatar,Boeing 787-9 Dreamliner,221,Insurance restriction — war zone
2026-02-28,FedEx Express,FE8643,Dubai,Amman,UAE,Jordan,Airbus A320neo,139,Airport closure — military activity
2026-02-28,Cathay Pacific,CA1538,Karachi,Dubai,Pakistan,UAE,Boeing 737 MAX 8,340,Government travel ban
2026-02-28,FedEx Express,FE4808,Sydney,Dubai,Australia,UAE,Boeing 737-800,435,Crew safety — company policy
2026-02-28,British Airways,BR9313,Amman,Dubai,Jordan,UAE,Boeing 787-9 Dreamliner,309,Airspace closure — NOTAM
2026-02-28,Etihad Airways,ET9130,London,Riyadh,UK,Saudi Arabia,Boeing 737-800,410,Airspace closure — NOTAM
2026-02-28,Cargolux,CA8910,Dubai,London,UAE,UK,Boeing 777-200LR,160,Fuel supply disruption
2026-02-28,Delta Air Lines,DE8835,Muscat,London,Oman,UK,Boeing 737-800,248,Airspace closure — NOTAM
2026-02-28,KLM,KL3060,Dubai,Cairo,UAE,Egypt,Boeing 777-300ER,377,Fuel supply disruption
2026-02-28,Etihad Airways,ET8144,Dubai,Bahrain,UAE,Bahrain,Boeing 787-10 Dreamliner,312,Government travel ban
2026-02-28,Qatar Airways,QA9007,Washington,Abu Dhabi,USA,UAE,Boeing 777-200LR,433,Diplomatic advisory — do not fly
2026-02-28,Jazeera Airways,JA2297,Dubai,London,UAE,UK,Airbus A340-600,449,Airport closure — military activity
2026-02-28,Saudi Arabian Airlines,SA3477,Beijing,Tehran,China,Iran,Boeing 777-300ER,83,Airport closure — military activity
2026-02-28,Lufthansa,LU3390,Dubai,Islamabad,UAE,Pakistan,Airbus A350-900,99,Government travel ban
2026-02-28,Qatar Airways,QA389,Doha,Los Angeles,Qatar,USA,Airbus A321neo,135,Fuel supply disruption
2026-02-28,Air India,AI4585,Abu Dhabi,Washington,UAE,USA,Airbus A330-300,222,Fuel supply disruption
2026-02-28,Pakistan International Airlines,PA1202,Doha,Paris,Qatar,France,Boeing 777-200LR,348,Diplomatic advisory — do not fly
2026-02-28,EgyptAir,EG5316,Cairo,Kuwait City,Egypt,Kuwait,Boeing 787-9 Dreamliner,209,Fuel supply disruption
2026-02-28,Singapore Airlines,SI7861,Kuwait City,Mumbai,Kuwait,India,Boeing 787-10 Dreamliner,97,Airport closure — military activity
2026-02-28,Kuwait Airways,KU6859,Paris,Doha,France,Qatar,Airbus A330-300,305,Insurance restriction — war zone
2026-02-28,Mahan Air,MA9305,Frankfurt,Dubai,Germany,UAE,Airbus A340-600,92,Airport closure — military activity
2026-02-28,Air India,AI1173,Karachi,Dubai,Pakistan,UAE,Boeing 737-800,184,Airspace closure — NOTAM
2026-02-28,Emirates SkyCargo,EM582,Istanbul,Delhi,Turkey,India,Airbus A380-800,340,Insurance restriction — war zone
2026-02-28,Cargolux,CA3369,London,Doha,UK,Qatar,Airbus A380-800,96,Crew safety — company policy
2026-02-28,Etihad Airways,ET8633,Dubai,Mumbai,UAE,India,Boeing 787-9 Dreamliner,251,Insurance restriction — war zone
2026-02-28,Cathay Pacific,CA5413,Los Angeles,Doha,USA,Qatar,Boeing 737-800,90,Security risk — conflict zone
2026-02-28,Air India,AI6861,Delhi,Dubai,India,UAE,Boeing 787-9 Dreamliner,325,Airport closure — military activity
2026-02-28,Lufthansa,LU4938,Abu Dhabi,Washington,UAE,USA,Boeing 737 MAX 8,226,Government travel ban
2026-02-28,Air Arabia,AI3705,Kuwait City,London,Kuwait,UK,Airbus A320neo,423,Security risk — conflict zone
2026-02-28,Cathay Pacific,CA8807,Moscow,Tehran,Russia,Iran,Airbus A321neo,159,Airspace closure — NOTAM
2026-02-28,Jazeera Airways,JA9311,Istanbul,Tehran,Turkey,Iran,Boeing 777-300ER,238,Airspace closure — NOTAM
2026-02-28,FedEx Express,FE4384,Tehran,Moscow,Iran,Russia,Airbus A340-600,159,Crew safety — company policy
2026-02-28,IndiGo,IN1293,Istanbul,Dubai,Turkey,UAE,Airbus A340-600,439,Diplomatic advisory — do not fly
2026-02-28,Pakistan International Airlines,PA4743,Dubai,Karachi,UAE,Pakistan,Boeing 777-200LR,106,Diplomatic advisory — do not fly
2026-02-28,Delta Air Lines,DE4022,Beijing,Tehran,China,Iran,Boeing 787-10 Dreamliner,260,Diplomatic advisory — do not fly
2026-02-28,Emirates,EM101,Dubai,Istanbul,UAE,Turkey,Boeing 787-9 Dreamliner,185,Security risk — conflict zone
2026-02-28,Pakistan International Airlines,PA4170,Bahrain,Dubai,Bahrain,UAE,Airbus A350-900,114,Diplomatic advisory — do not fly
2026-02-28,Singapore Airlines,SI625,Mumbai,Kuwait City,India,Kuwait,Boeing 787-9 Dreamliner,369,Security risk — conflict zone
2026-03-01,Qatar Airways,QA9076,Delhi,Dubai,India,UAE,Airbus A350-900,156,Government travel ban
2026-03-01,DHL Aviation,DH2597,Dubai,Delhi,UAE,India,Boeing 777-200LR,409,Crew safety — company policy
2026-03-01,Air Arabia,AI4137,Singapore,London,Singapore,UK,Airbus A340-600,147,Airport closure — military activity
2026-03-01,KLM,KL6421,Paris,Dubai,France,UAE,Boeing 737 MAX 8,125,Fuel supply disruption
2026-03-01,Saudi Arabian Airlines,SA803,Dubai,Frankfurt,UAE,Germany,Boeing 787-10 Dreamliner,240,Insurance restriction — war zone
2026-03-01,Qatar Airways,QA1993,Paris,Beirut,France,Lebanon,Boeing 777-200LR,205,Airport closure — military activity
2026-03-01,Mahan Air,MA6614,Riyadh,Islamabad,Saudi Arabia,Pakistan,Boeing 777-300ER,171,Diplomatic advisory — do not fly
2026-03-01,IndiGo,IN8518,Dubai,Paris,UAE,France,Airbus A320neo,367,Airport closure — military activity
2026-03-01,Turkish Airlines,TU5122,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,333,Crew safety — company policy
2026-03-01,British Airways,BR2894,Istanbul,Dubai,Turkey,UAE,Airbus A330-300,80,Crew safety — company policy
2026-03-01,Emirates,EM1417,Muscat,London,Oman,UK,Airbus A350-900,226,Security risk — conflict zone
2026-03-01,Ethiopian Airlines,ET8647,Delhi,Dubai,India,UAE,Airbus A340-600,121,Security risk — conflict zone
2026-03-01,IndiGo,IN8905,New York,Dubai,USA,UAE,Boeing 737-800,164,Airport closure — military activity
2026-03-01,Air France,AI2355,Paris,Doha,France,Qatar,Airbus A380-800,156,Crew safety — company policy
2026-03-01,Air India,AI3401,Singapore,London,Singapore,UK,Boeing 787-10 Dreamliner,183,Airspace closure — NOTAM
2026-03-01,Delta Air Lines,DE8280,Muscat,London,Oman,UK,Airbus A330-300,121,Insurance restriction — war zone
2026-03-01,Jazeera Airways,JA1145,Riyadh,Islamabad,Saudi Arabia,Pakistan,Airbus A320neo,318,Airport closure — military activity
2026-03-01,Turkish Airlines,TU6932,Delhi,Istanbul,India,Turkey,Boeing 787-9 Dreamliner,145,Diplomatic advisory — do not fly
2026-03-01,Malaysia Airlines,MA3324,Cairo,Riyadh,Egypt,Saudi Arabia,Boeing 787-9 Dreamliner,299,Airport closure — military activity
2026-03-01,Gulf Air,GU2978,New York,Doha,USA,Qatar,Boeing 777-200LR,279,Insurance restriction — war zone
2026-03-01,Ethiopian Airlines,ET3198,Doha,Los Angeles,Qatar,USA,Boeing 737-800,94,Crew safety — company policy
2026-03-01,Iran Air,IR7345,London,Doha,UK,Qatar,Airbus A320neo,195,Airspace closure — NOTAM
2026-03-01,Lufthansa,LU182,Cairo,Dubai,Egypt,UAE,Airbus A340-600,410,Insurance restriction — war zone
